DateTime,Date,Time,TimeErr,Evla,EvlaErr,Evlo,EvloErr,Depth,Derr,Mag,,,,,,,,,,,,
2019-06-18 00:01:00,6/18/19,0:01:51,0.233,35.7638,1.2,140.9505,1.8,27.3,1.2,1.2,,6/19/19 7:44,6/19/19,44:29.9,0.039,35.5143,0.3,136.3247,0.2,10.8,0.6,0.7
2019-06-18 00:02:00,6/18/19,0:02:28,0.107,35.6933,0.5,139.8088,0.5,110.5,0.9,2.2,,6/19/19 7:45,6/19/19,45:10.2,0.766,38.6898,4.4,139.4193,4.4,11.9,7,1.4
2019-06-18 00:04:00,6/18/19,0:04:01,0.068,39.6172,0.4,140.4243,0.5,5.8,1.2,0.7,,6/19/19 7:45,6/19/19,45:36.9,0.041,38.6363,0.3,139.458,0.2,11,0.6,1.8
2019-06-18 00:06:00,6/18/19,0:06:37,0.238,43.5027,2.3,145.5127,1.3,90.4,2,2.3,,6/19/19 7:46,6/19/19,46:07.3,0.008,34.5224,0.1,132.1734,0,9.5,0.2,2.6
2019-06-18 00:13:00,6/18/19,0:13:49,0.021,34.0189,0.1,134.3395,0.1,7.2,0.6,1.2,,6/19/19 7:46,6/19/19,46:35.3,0.106,38.6198,0.6,139.4767,0.7,12.5,0.9,1.3
2019-06-18 00:19:00,6/18/19,0:19:04,0.075,40.7052,0.7,139.283,0.4,9.8,1.1,1.9,,6/19/19 7:49,6/19/19,49:15.4,0.145,38.5756,0.7,139.399,0.6,11,1.6,1.3
2019-06-18 00:22:00,6/18/19,0:22:55,0.044,34.827,0.2,136.5326,0.3,9.4,0.7,0.2,,6/19/19 7:51,6/19/19,51:09.4,0.056,33.8841,0.3,135.3332,0.2,11.1,0.7,0.5
2019-06-18 00:25:00,6/18/19,0:25:15,0.035,32.0116,0.2,129.7196,0.3,12.1,0.9,1.8,,6/19/19 7:51,6/19/19,51:16.6,0.07,32.8419,0.5,130.8293,0.3,10.8,1.1,0.3
2019-06-18 00:25:00,6/18/19,0:25:52,0.042,32.755,0.2,130.7456,0.3,12.5,0.8,1,,6/19/19 7:52,6/19/19,52:56.7,0.065,32.9963,0.4,131.0953,0.4,7.7,1.2,0.7
2019-06-18 00:27:00,6/18/19,0:27:01,0.31,33.9437,1.4,135.1873,1.8,12.1,2.8,0.5,,6/19/19 7:56,6/19/19,56:27.6,0.105,38.5789,0.6,139.4395,0.4,12.2,0.9,1.1
2019-06-18 00:30:00,6/18/19,0:30:24,0.044,34.9036,0.2,135.6688,0.3,11.3,0.6,0.3,,6/19/19 8:00,6/19/19,00:14.0,0.098,38.6643,0.6,139.4499,0.4,12.2,1.2,1.6
2019-06-18 00:32:00,6/18/19,0:32:33,0.122,43.0129,3.4,145.9036,1.3,61.9,2.5,2.3,,6/19/19 8:00,6/19/19,00:30.8,0.232,38.447,1.3,139.5558,1.3,6.6,2.7,1.6
2019-06-18 00:33:00,6/18/19,0:33:48,0.132,34.8733,0.7,137.0113,0.9,37.8,1.3,1.3,,6/19/19 8:03,6/19/19,03:48.1,0.043,38.6403,0.3,139.4607,0.2,12.2,0.5,1.6
2019-06-18 00:56:00,6/18/19,0:56:05,0.041,33.7388,0.2,134.2368,0.2,19.3,0.5,1.5,,6/19/19 8:05,6/19/19,05:00.8,0.04,35.1726,0.3,132.5904,0.3,8.8,0.6,0.9
2019-06-18 00:57:00,6/18/19,0:57:18,0.099,41.1587,0.4,140.9049,0.5,111.2,0.9,2.9,,6/19/19 8:05,6/19/19,05:06.9,0.808,38.5253,3.3,139.5433,2.9,10.5,8.6,0.8
2019-06-18 01:06:00,6/18/19,1:06:55,0.043,34.8968,0.3,135.5969,0.2,11.1,0.7,0.4,,6/19/19 8:06,6/19/19,06:46.5,0.06,38.6025,0.4,139.4611,0.3,11.1,0.6,1.5
2019-06-18 01:08:00,6/18/19,1:08:37,0.195,32.0777,1,130.0594,1.7,7.8,2.7,0.3,,6/19/19 8:09,6/19/19,09:25.7,0.495,38.6749,3.2,139.3558,1.6,15.6,4.1,1.6
2019-06-18 01:08:00,6/18/19,1:08:48,0.099,35.8074,0.5,141.0324,0.7,27.3,0.7,1.2,,6/19/19 8:12,6/19/19,12:18.3,0.05,38.5983,0.3,139.4553,0.2,11.7,0.6,1.8
2019-06-18 01:09:00,6/18/19,1:09:37,0.161,36.5636,0.5,141.1002,1,13.4,2.3,1.2,,6/19/19 8:16,6/19/19,16:33.8,0.045,38.579,0.3,139.418,0.2,9.7,0.6,1.9
2019-06-18 01:10:00,6/18/19,1:10:16,0.042,32.7057,0.3,130.6109,0.3,8.7,0.8,0.5,,6/19/19 8:18,6/19/19,18:36.3,0.061,36.5728,0.3,139.4119,0.3,7.2,0.9,0.5
2019-06-18 01:14:00,6/18/19,1:14:14,0.255,35.7259,0.9,140.8062,1.3,13.2,1.9,0.8,,6/19/19 8:22,6/19/19,22:00.9,0.123,38.5482,0.6,139.3786,0.4,10,1.5,1.2
2019-06-18 01:16:00,6/18/19,1:16:17,0.063,34.0953,0.4,135.523,0.3,57.5,0.5,1.3,,6/19/19 8:22,6/19/19,22:08.1,0.144,32.8996,0.8,131.3039,0.9,118.9,1.2,2.2
